"noise_type","mean_loss_Direct method","mean_loss_Basic noise model","mean_loss_Perlin noise model","sd_loss_Direct method","sd_loss_Basic noise model","sd_loss_Perlin noise model"
"Pure",0.0177910479095198,0.00265466666666667,0.00658366666666667,0.00894493239862838,0.00204486479901182,0.00468055934344155
"Averaged",0.0190239197742374,0.00294566666666667,0.003453,0.0186186377311252,0.00233363732756708,0.00284894655949053
"Triangular",0.0177482316033103,0.003161,0.00704,0.00899262248097028,0.00246950301647574,0.00498765398065499
"Bubble",0.0160642770460332,0.00282266666666667,0.00787766666666667,0.010358730801514,0.00218604951752087,0.00516774642275711
"Black box",0.0533193217042012,0.004058,0.034106,0.0985677501721354,0.00494403180445823,0.0873423818155906
"Combined",0.0570395077984042,0.00586966666666667,0.0141256666666667,0.102694960688537,0.00746917729240403,0.0369663185994019
"Perlin",0.048361816562293,0.0177988,0.00485126666666667,0.0509971808869435,0.0143462250379042,0.00370229553048311
"Perlin m.",0.169463964613862,0.192649066666667,0.00634046666666667,0.149104534055858,0.1551824818914,0.00485236562366219
